names,scores,logfoldchanges,pvals,pvals_adj
DDX5,9.189954,0.5142088,3.930106311290077e-20,1.2114287156827926e-18
SNHG5,9.105207,0.5336339,8.610151091996884e-20,2.6070470762183485e-18
EIF3E,8.957797,0.7331,3.3123054165580015e-19,9.672591450429476e-18
C10orf54,8.878765,1.0687125,6.760697449434634e-19,1.9438425481714792e-17
MGST1,8.790534,4.1771116,1.4885119557445551e-18,4.232363149512461e-17
SLC11A1,8.781236,4.9124103,1.6168819285961789e-18,4.5783405671932353e-17
RNVU1-13,8.78054,8.438807,1.626915115654863e-18,4.6004050150521606e-17
JUN,8.651019,0.67999095,5.104149866882541e-18,1.4159877380706984e-16
CCNL1,8.531778,1.1267513,1.4411440833931643e-17,3.9233820160270623e-16
CDA,8.522379,5.8768816,1.5630930988372496e-17,4.2333427738825725e-16
NUP214,8.3962965,1.6448612,4.6078025338689e-17,1.2127381822794185e-15
GLIPR2,8.329728,2.2492478,8.102840535857532e-17,2.100293097987617e-15
IGHG3,8.27094,2.4508893,1.3290674923966092e-16,3.4191010716052622e-15
RP11-347P5.1,8.21632,2.8223195,2.0984299698235766e-16,5.35138743484574e-15
LYST,8.185989,2.833761,2.700746015600724e-16,6.819632835703231e-15
CYBB,8.185205,0.9704082,2.718403054665216e-16,6.847373780272664e-15
PRKCB,8.058464,2.1145775,7.725925345043996e-16,1.8859158312533673e-14
IGHG1,7.871873,2.580012,3.49370842685843e-15,8.215617445014514e-14
LTA4H,7.7566714,2.0039108,8.718737669954219e-15,2.011089501421238e-13
FAM65B,7.381462,4.960059,1.5656037134536452e-13,3.390324750368131e-12
LRRFIP1,7.3759956,1.0014415,1.6312133734393626e-13,3.5216954657994712e-12
YWHAZ,7.2211795,0.7953348,5.153865434543333e-13,1.0654955035824783e-11
FPR1,7.2018285,3.700862,5.94104062113566e-13,1.225765054384864e-11
RNVU1-14,7.1400075,6.4950266,9.332588162294784e-13,1.9063552475994988e-11
LILRA3,7.129315,3.216719,1.0086976073211807e-12,2.052284755272202e-11
LGALS2,7.0120068,0.8320713,2.3492422576095304e-12,4.6868410404728916e-11
IFITM2,6.9696517,1.1508567,3.177265984121276e-12,6.302038008504896e-11
RBP7,6.8422346,3.4216003,7.796736744811868e-12,1.504315870622583e-10
GCA,6.719136,1.2347494,1.8280479436166126e-11,3.4334854743371854e-10
ZFP36L1,6.702809,0.62017524,2.0445063150905326e-11,3.8330292367574015e-10
SET,6.599853,0.90461874,4.115655048302807e-11,7.577603810458145e-10
PLP2,6.5085096,2.0114596,7.590006982376836e-11,1.3620214452903329e-09
CSF3R,6.4700785,2.3105912,9.795213215282069e-11,1.7364933687092018e-09
NRGN,6.4149933,7.025239,1.408290553143889e-10,2.4710082705547777e-09
POU2F2,6.394927,2.0165253,1.6062406128020298e-10,2.7968204868713206e-09
TLE4,6.3834066,2.0574346,1.7319094220707615e-10,3.002902747102252e-09
CD300E,6.330768,4.073153,2.4394341654053425e-10,4.20127046825556e-09
ZEB2,6.3182197,1.0347657,2.6459408593782224e-10,4.537888045294531e-09
SAMHD1,6.242435,0.7971577,4.308105362580926e-10,7.249270081018347e-09
CDC42EP3,6.131787,2.6370013,8.689741028250932e-10,1.4340168293325032e-08
LILRA5,6.02952,3.3145213,1.6444722902652668e-09,2.6540386514823633e-08
NAMPT,5.995207,0.9308564,2.0322642645626324e-09,3.259402584937991e-08
ICAM3,5.9354596,2.252324,2.93023066851575e-09,4.641566774225295e-08
FLNA,5.898964,1.3241674,3.6579106908798396e-09,5.745466608498257e-08
BCL2A1,5.877404,1.2887986,4.167500029075767e-09,6.511005182412209e-08
CHP1,5.8717065,1.4600911,4.313314352892156e-09,6.723464719098184e-08
PPP1CB,5.836187,1.0149671,5.34090239749703e-09,8.243863557760642e-08
NRG1,5.7532015,2.766862,8.756900356525364e-09,1.322813888293666e-07
IQGAP1,5.750066,1.0539738,8.920865072270078e-09,1.3465914637399444e-07
EFHD2,5.726798,0.67806876,1.0234382106937514e-08,1.5302376567612544e-07
METTL9,5.721384,1.2158098,1.0565961831448065e-08,1.576370860739806e-07
YPEL3,5.7098904,1.8257831,1.1304888320926796e-08,1.6768645400311143e-07
AGTRAP,5.657829,1.5859262,1.5329981179173567e-08,2.254363779564858e-07
FYB,5.6405916,0.6583822,1.6946689942003955e-08,2.4796763921553757e-07
SLC2A3,5.583911,1.2689905,2.3516941670247956e-08,3.392686546370487e-07
NUMB,5.4564867,1.6394138,4.856471739995551e-08,6.791451522504677e-07
CLEC7A,5.416776,0.7274527,6.068317615073284e-08,8.440141756086683e-07
PRAM1,5.3310575,2.8304622,9.764236426919204e-08,1.3257275767739704e-06
TIMP1,5.318291,0.5317235,1.047462850150802e-07,1.420301509296289e-06
DDX17,5.245827,1.0401971,1.5558273436987699e-07,2.0766956787251006e-06
PLAC8,5.1850576,1.2990913,2.1594780412186393e-07,2.8381513897680822e-06
CAPZA1,5.0052066,0.7833052,5.580219504064197e-07,7.0583072211296304e-06
HSD17B11,4.971223,0.9662611,6.653187031645971e-07,8.379342121022093e-06
CD55,4.856658,1.6234478,1.1938359401409775e-06,1.4562244809954918e-05
EVI2A,4.8427706,1.1207558,1.2804120714376587e-06,1.5572025719516407e-05
MDM4,4.8097267,1.5776534,1.5113683594930267e-06,1.8294151563698317e-05
FMNL1,4.7835836,1.6847701,1.721970807005465e-06,2.068480906788484e-05
LILRB2,4.768638,1.3827788,1.8547568142671623e-06,2.2137385255866615e-05
MT-ND4L,4.725495,0.7731805,2.2955540875654454e-06,2.7145984944487917e-05
TNFRSF1B,4.7099,1.0112032,2.478387538019839e-06,2.9190371639706985e-05
TRA2B,4.6950955,0.7711148,2.6648206915710824e-06,3.126063084415015e-05
RSL24D1,4.588282,0.80159867,4.469086206561984e-06,5.122605847823057e-05
NBPF10,4.583076,2.206036,4.581857061908951e-06,5.240163990191023e-05
C1orf56,4.524598,1.7881136,6.051037967304797e-06,6.776964453398809e-05
IL7R,4.442177,2.5763886,8.9053403939626e-06,9.786816538953866e-05
ARPC4,4.3310537,0.5873185,1.4839746291735681e-05,0.00015900060105586734
CYP1B1,4.3166814,2.897282,1.5839239654348496e-05,0.00016909191412590758
MEF2C,4.3162923,1.0149258,1.586716873710154e-05,0.00016921408156049742
TMEM167A,4.28129,0.81680596,1.8581280354674186e-05,0.00019703259524850536
RAB11FIP1,4.280535,1.4757777,1.86444377193037e-05,0.00019760023848197506
CX3CR1,4.2316456,3.3286664,2.3198785715172138e-05,0.0002415050060581992
RAB3D,4.227122,5.660838,2.3669951544703495e-05,0.0002460356634234015
CTNNB1,4.224728,1.1388637,2.392294080870407e-05,0.0002485394999301042
PTPN6,4.2091722,0.86169904,2.5630787990020958e-05,0.0002652088944794054
CRIP1,4.181839,1.2028556,2.891605040031547e-05,0.00029740360654713246
EIF3M,4.1492605,0.66153675,3.335513618909503e-05,0.0003408400153439183
ARF6,4.124413,0.9621426,3.716811563472521e-05,0.000376802096723592
EIF2S3,4.097921,1.0811232,4.1687785436247247e-05,0.00041951399373564693
YBX3,4.0947294,0.6251217,4.2266213126587117e-05,0.0004249182611536273
ZFP36L2,4.0824704,0.508358,4.455947217796569e-05,0.0004464428522896328
ITGAM,4.025539,2.0465724,5.684493940702445e-05,0.0005613130163957696
PSTPIP1,3.9971147,3.3503072,6.411926831053351e-05,0.0006286076691246143
SLC38A2,3.9641302,1.3248256,7.366405002885167e-05,0.0007143359863213491
CLEC4E,3.9381125,2.65166,8.212506261669997e-05,0.0007926400613343835
RNASE2,3.9338856,4.2731786,8.35835525136609e-05,0.0008052026042012879
HNRNPU,3.928386,0.6846583,8.55178474744611e-05,0.0008222931572848768
TESC,3.9137535,1.8233023,9.087242626282019e-05,0.0008701119583719383
TREM1,3.9115477,2.753272,9.170655168486921e-05,0.0008772804284895993
CAPN2,3.8996713,1.8766128,9.632331570846534e-05,0.0009175969133081601
HIF1A,3.8839111,1.1395342,0.00010278946740430444,0.0009722553182012672
QPCT,3.8463042,2.6036437,0.00011991286793338918,0.001117426811531796
FBXL5,3.8301878,1.4506891,0.0001280454582177022,0.0011878197974474509
CHMP4B,3.8126075,0.9855496,0.0001375083232163936,0.0012704358088700919
IGHG2,3.7289002,2.363654,0.0001923172348563415,0.0017308551137070736
SNORD3D,3.6934464,3.766852,0.00022123522745295317,0.0019738105103788246
C15orf48,3.6653912,1.1566218,0.00024696087689552885,0.0021918978996058416
THBS1,3.6637623,1.699851,0.00024853741968744274,0.002203984746766096
AC013394.2,3.621579,1.2718542,0.00029281042077102556,0.002566654623402384
MIDN,3.6116679,0.9288982,0.00030423413536307103,0.0026588431523492913
LRRK2,3.5516338,2.6305413,0.0003828472961001462,0.0032939950300251057
C19orf38,3.5501468,1.5877265,0.00038501640446350133,0.003309883487115251
FYN,3.5363846,3.1835208,0.0004056436765145329,0.00347266848839318
S1PR4,3.5111551,3.293145,0.00044616413416749393,0.003781710780480794
TRMT1,3.5060313,1.4932325,0.0004548417398025826,0.0038457356163126926
RAB27A,3.4833767,2.8835135,0.0004951310140041202,0.004162385170553065
RUNX1,3.453594,1.5903926,0.0005531697685084277,0.004603170724649174
LILRA2,3.4478304,3.016853,0.0005651085745511216,0.004691109553966832
NOTCH2,3.3829267,1.9536021,0.0007171778744248475,0.005854053512551766
MTMR11,3.3422565,4.1242905,0.00083100190593457,0.006695305387335475
MYO1G,3.3414488,1.4038273,0.0008334237453612244,0.006712183628293674
RGS18,3.3234005,1.2192515,0.0008892717525482836,0.0071284107020943835
DAPP1,3.2494788,1.7197945,0.0011561665159067621,0.009086884534858316
C7orf73,3.2333493,0.62533206,0.0012234783069959045,0.00958655960470188
C11orf21,3.2277212,6.679928,0.0012478052561252497,0.009762269094129288
OSCAR,3.1996627,2.0244825,0.0013758851109545733,0.010662720061452035
IRAK3,3.199544,1.9181739,0.0013764517951490346,0.010663086378345106
RNVU1-19,3.1688676,7.0006332,0.0015303410922719706,0.011779667147825754
C16orf54,3.1671002,3.0446293,0.0015396720059661353,0.011838174760478949
RASGRP2,3.1403441,1.7609549,0.001687494627772265,0.01284962062816648
BST1,3.13951,2.0806305,0.0016923064576569342,0.012881482858449833
MEGF9,3.134983,2.8190176,0.0017186404826048417,0.013062558484781488
MT-RNR2,3.1093447,0.54880023,0.0018750288036876645,0.014136050793574757
CLEC4A,3.103192,0.8351972,0.0019144527358874255,0.014412101288974317
TGFB1,3.082605,0.76704895,0.0020519735774825057,0.015374075026327868
EREG,3.0744348,2.0393505,0.0021090189646147677,0.015766952048279884
NOTCH2NL,3.0697265,1.5017543,0.0021425495235811148,0.015976897627895642
TET2,3.065483,1.7226493,0.0021731873360366903,0.01618185086017309
RHOB,3.0586052,0.6857624,0.0022236998863950823,0.016486217034237863
CKAP4,3.0352714,2.8250604,0.0024031927399796407,0.017657531767731584
TNFSF10,3.0213048,1.1620675,0.0025168781685774703,0.01840719341743031
RBMS1,2.975577,1.1470557,0.002924378624250832,0.021064760974472047
GK,2.972481,1.5242314,0.0029540342806933144,0.021233672881076
RAP1B,2.939833,0.6297384,0.003283892280806269,0.02339986970936199
IL1RN,2.920515,1.5032359,0.003494532366544926,0.024729146829645225
SLC16A10,2.912612,4.847085,0.0035841973299473493,0.025285218895700734
CDKN2D,2.9093478,2.716282,0.00362183724829895,0.025489440133811842
FAM45A,2.9049659,1.1427368,0.003672931209376382,0.025813627113073515
TRAF3IP3,2.904623,1.7007565,0.003676957052132988,0.0258330771126756
SPINK4,2.8977156,4.830649,0.0037589137276468963,0.026312875291213015
VAMP2,2.895081,0.74796945,0.003790605597531664,0.026495520024422042
SMCHD1,2.884537,1.5497025,0.003919897876062646,0.02734338549021069
MYO1F,2.8626473,0.84509,0.0042011789337499765,0.029154592578079133
ADAM8,2.8364813,2.6762555,0.004561364001772356,0.03141689980636152
ATP2B1,2.8352218,0.91327846,0.004579387071601016,0.03151533261578855
RNU5D-1,2.825024,26.081932,0.004727709450868091,0.032384099872162515
AQP9,2.8132036,26.123186,0.004905057055455209,0.03345379278785381
SERPINB1,2.8114398,0.5144103,0.004932033111995077,0.03360428402129006
