names,scores,logfoldchanges,pvals,pvals_adj
ELMOD2,-0.88940203,-0.20622769,0.37378704654153383,1.0
ASH2L,-0.8902593,-0.100914806,0.37332667170183576,1.0
KPTN,-0.8905231,-0.6263989,0.37318508856001764,1.0
TCF20,-0.8915221,-0.7105273,0.3726491439100701,1.0
RPL30,-0.891532,-0.06889141,0.37264383991263017,1.0
EXTL3,-0.8917661,-0.86566675,0.37251832562595477,1.0
KPNA4,-0.89206284,0.3440567,0.3723592606634625,1.0
GBP3,-0.8921156,0.16617784,0.372330986855413,1.0
RNF19A,-0.89245516,0.18011697,0.37214900607082846,1.0
PUSL1,-0.8924783,0.017799102,0.3721366404459089,1.0
ARHGEF7,-0.8925145,-0.19809245,0.3721172092642213,1.0
PPIL4,-0.8925772,-0.03103635,0.3720836477955125,1.0
MSTO1,-0.89348716,-1.0047253,0.3715963349364929,1.0
FAM135A,-0.89348716,0.020846542,0.3715963349364929,1.0
SFSWAP,-0.8939587,0.029185537,0.37134400613383367,1.0
P4HA2,-0.8940279,-1.1452355,0.37130695980901296,1.0
STMN2,-0.8943049,-1.219023,0.3711587974418321,1.0
DPF2,-0.8943213,0.2172869,0.371149979410346,1.0
SRPK1,-0.8949445,-0.02570001,0.3708167531612927,1.0
TAF5L,-0.8952182,-0.3368116,0.370670474415454,1.0
BIRC5,-0.8956303,-1.3068904,0.37045024271733185,1.0
NKIRAS2,-0.89605564,0.11574957,0.3702230488260121,1.0
PLEK2,-0.89617765,-1.7890518,0.37015790066250587,1.0
POLD3,-0.89660954,-0.09194861,0.36992729819725945,1.0
USP9Y,-0.8966326,-2.694951,0.3699149784410586,1.0
PIK3AP1,-0.8969393,0.375918,0.36975132587429504,1.0
IGKV3-15,-0.8970151,-2.5964627,0.369710859599935,1.0
ERLIN2,-0.8981526,0.09863607,0.3691041958203928,1.0
CHRNB1,-0.89865047,-0.48245916,0.36883886540912514,1.0
ZFP62,-0.89896697,-0.46981716,0.36867024023738826,1.0
C7orf41,-0.8989835,-0.45126057,0.36866145899073843,1.0
METTL17,-0.8992901,-0.10807289,0.3684981515254001,1.0
MAN2B1,-0.9010409,-0.12765802,0.3675665811424236,1.0
ARMC8,-0.9019344,0.17949623,0.36709171282492814,1.0
UBP1,-0.90197396,0.2034957,0.3670706942896024,1.0
AC135048.13,-0.9019905,-0.66143155,0.3670619367879262,1.0
GALNT1,-0.90201026,0.34638906,0.36705142795780743,1.0
SYTL3,-0.9023433,-0.120169066,0.3668745574643595,1.0
KLHDC4,-0.9024092,-0.17101368,0.3668395399073534,1.0
RNF20,-0.90244216,0.059568822,0.3668220319102473,1.0
CTC-524C5.2,-0.9028477,-0.7470803,0.3666067261568986,1.0
MAP1LC3A,-0.9029763,-0.22885449,0.36653847493643654,1.0
MINA,-0.9031708,-0.22389506,0.3664352381520761,1.0
AZI1,-0.9031741,-0.6898168,0.366433488532372,1.0
ZHX1,-0.9033027,0.038870085,0.3663652574278621,1.0
RP11-395A13.2,-0.90405446,-0.8313962,0.3659665264909612,1.0
ANP32B,-0.9042292,0.19780166,0.36587387783907765,1.0
VCAM1,-0.904493,-0.7782011,0.36573405854142094,1.0
CARD8,-0.90464467,0.31245098,0.36565367754818057,1.0
THEM6,-0.904704,-1.0573071,0.36562222711795944,1.0
PDIA5,-0.9055777,-1.1246899,0.3651594023336635,1.0
CD101,-0.9059602,-0.28273487,0.36495692251944034,1.0
PHLDB3,-0.90598,-1.0599695,0.3649464513335354,1.0
PLEKHM1,-0.90599316,0.019820523,0.3649394706471937,1.0
RP3-508I15.21,-0.9064943,-1.2177035,0.3646742663746284,1.0
TMCC1-AS1,-0.9066592,-1.3676853,0.36458705445521744,1.0
CDK5RAP1,-0.9068603,-0.28761783,0.36448067356482206,1.0
FAM229B,-0.90695924,-1.5508893,0.36442836221117547,1.0
IGLV1-47,-0.90726256,-1.6129757,0.36426796998849,1.0
METTL7B,-0.90762854,-1.7987955,0.3640745120332304,1.0
TXNL4B,-0.90764505,-0.33695897,0.36406579922316884,1.0
TGFBRAP1,-0.90781647,-0.29636374,0.3639751937269119,1.0
TM9SF4,-0.90792197,0.15437339,0.3639194435073151,1.0
ATAD3B,-0.90943205,-0.4211421,0.36312210372411824,1.0
ELK4,-0.91015744,0.10743191,0.3627394911139942,1.0
KRT18,-0.9105267,-0.2118111,0.3625448035101251,1.0
ARL6IP4,-0.91101795,0.21181886,0.36228590092107693,1.0
NME2,-0.9110312,-0.5274381,0.3622789521127022,1.0
KCMF1,-0.91104764,0.355038,0.3622702662196422,1.0
CA11,-0.91125536,-0.19176659,0.36216083514451636,1.0
MOB1B,-0.9120335,0.30837363,0.36175108698382896,1.0
LETM1,-0.9124885,0.27910495,0.3615116231648593,1.0
DYM,-0.91250825,-0.17620353,0.36150121394925516,1.0
PCGF6,-0.9130688,-0.58639276,0.3612063642611456,1.0
PRR14L,-0.9138403,0.1051636,0.36080075908455034,1.0
PIP4K2C,-0.9140217,-0.59999996,0.3607054660256027,1.0
GS1-358P8.4,-0.9148987,-0.27978653,0.3602448170501711,1.0
UNG,-0.91492504,-0.7551846,0.3602309686684776,1.0
SLC39A6,-0.91508335,0.020452188,0.36014788539653797,1.0
RNF6,-0.9152284,0.016273824,0.36007173629990685,1.0
GSTM3,-0.91574603,-0.6566262,0.3598001048770497,1.0
GSK3B,-0.916056,0.10472185,0.35963753366099516,1.0
C19orf40,-0.9166066,-1.0482423,0.35934882415708935,1.0
CELA1,-0.91669893,-1.0868672,0.35930043203269557,1.0
TTTY14,-0.9170286,-1.1190876,0.3591276364477449,1.0
RHBDD1,-0.91724956,-0.2606867,0.35901189263008537,1.0
MBD6,-0.91743416,0.09036143,0.35891516952011016,1.0
MID1IP1,-0.91754955,0.21199876,0.35885472589579703,1.0
SPATA2L,-0.91761553,-0.24292508,0.35882018955523387,1.0
PIF1,-0.9178595,-1.0682274,0.3586924232654881,1.0
UGGT1,-0.91805404,0.15320383,0.3585905760463728,1.0
PIGW,-0.9183541,-1.5219553,0.3584335253163865,1.0
TMEM255A,-0.9184332,-1.2458441,0.3583921125540135,1.0
ASUN,-0.9186409,-0.32357934,0.3582834183721172,1.0
AASDHPPT,-0.91879916,0.04522955,0.3582006176773047,1.0
DUSP28,-0.9190695,-0.040933132,0.3580591943417182,1.0
FAR1,-0.9191322,0.35182127,0.35802643053396854,1.0
SLC30A4,-0.91938937,-1.7430184,0.3578919462499972,1.0
RP5-887A10.1,-0.9195872,-2.0677223,0.3577885184358941,1.0
RP11-733O18.1,-0.9197323,-1.8759938,0.3577126833294134,1.0
CXCL11,-0.9197883,-1.8660789,0.35768338611167516,1.0
TAOK2,-0.91986084,-0.4174426,0.3576454743072489,1.0
MICU2,-0.92001253,0.05964059,0.357566212344693,1.0
LONP1,-0.9200257,-0.041304477,0.3575593205227622,1.0
ATE1,-0.920217,-0.081115186,0.3574593985020098,1.0
TPP2,-0.9208401,0.26953337,0.3571339125377244,1.0
